ID,Posted at,Screen name,Text
452226788781858816,2014-04-04 23:30:43 +0000,feddabonn,"RT @tjowens: ""Real Face of White Australia"" http://t.co/Wc9GaZ3dB4 IMHO Biggest pay off of facial recognition for archives. from @wragge #radtech14"
452222098182651904,2014-04-04 23:12:04 +0000,wragge,@tjowens Thanks Trevor — #radtech14 sounds great from the tweet stream...
452221389483687936,2014-04-04 23:09:15 +0000,mistydemeo,"RT @tjowens: ""Real Face of White Australia"" http://t.co/Wc9GaZ3dB4 IMHO Biggest pay off of facial recognition for archives. from @wragge #radtech14"
452221095974666240,2014-04-04 23:08:05 +0000,wragge,"RT @tjowens: ""Real Face of White Australia"" http://t.co/Wc9GaZ3dB4 IMHO Biggest pay off of facial recognition for archives. from @wragge #radtech14"
452204681834426368,2014-04-04 22:02:52 +0000,vulturemind,"RT @cliotropic: @pearcemoses: “Archives users want magic.” So do archivists, but digital labor is still labor; search still takes time & effort. #radtech14"
452202423767941120,2014-04-04 21:53:54 +0000,cliotropic,RT @genschaffner: @cliotropic now we really ARE digital humanists #radtech14 I hear the phrase about that wheel all over DH
452200540508667904,2014-04-04 21:46:25 +0000,galvan_as,"RT @meau: Gobsmacked by idea of scholars reluctant to share images. You're not the creator/keeper. The work is in analysis, not hoarding. #radtech14"
452200539301085184,2014-04-04 21:46:24 +0000,elisedunham,"RT @pogonippy: It doesn't have to be pretty, people are used to Google @pearcemoses #radtech14"
452200372313292800,2014-04-04 21:45:44 +0000,genschaffner,RT @pogonippy: Trehub: follow science community-focus on getting ideas out there and not polished end products #radtech14
452200179421433856,2014-04-04 21:44:58 +0000,genschaffner,"RT @meau: Gobsmacked by idea of scholars reluctant to share images. You're not the creator/keeper. The work is in analysis, not hoarding. #radtech14"
452199972617076736,2014-04-04 21:44:09 +0000,genschaffner,@cliotropic now we really ARE digital humanists #radtech14 I hear the phrase about that wheel all over DH
452199582978818049,2014-04-04 21:42:36 +0000,genschaffner,RT @cliotropic: Conversation about the need for archives people to stop reinventing the wheel. #radtech14
452199475260719104,2014-04-04 21:42:11 +0000,genschaffner,"RT @cliotropic: .@mike_rush says: digitization is changing the notion of what accessibility means for archives; #digitalhumanities services, too. #radtech14"
452197657289560064,2014-04-04 21:34:57 +0000,lemurchild,"RT @mike_rush: So far no evidence/metrics to show that one arrangement is better than another. Shows how hard to define archival ""success"". #radtech14"
452196830072147968,2014-04-04 21:31:40 +0000,ronallo,"A big thanks to the #radtech14 organizers, speakers, and folks sitting at my discussion table. Engaging discussions; much to consider."
452194831876784128,2014-04-04 21:23:44 +0000,ionphase,"RT @cliotropic: @pearcemoses: “Archives users want magic.” So do archivists, but digital labor is still labor; search still takes time & effort. #radtech14"
452190827251781632,2014-04-04 21:07:49 +0000,meau,RT @pogonippy: @mike_rush Evolving sense of what access in archives is: moving from physical to computational #radtech14
452190202539544576,2014-04-04 21:05:20 +0000,caschwartz,RT @tjowens: Underlaying theme: Descriptive metadata supporting universal design/access is invaluable in myriad other potential access uses #radtech14
452189080768360448,2014-04-04 21:00:52 +0000,minniedw,"RT @pogonippy: It doesn't have to be pretty, people are used to Google @pearcemoses #radtech14"
452182801983733762,2014-04-04 20:35:55 +0000,genschaffner,#radtech14 my many thanks to speakers and planners. Ciao!
452181808462168064,2014-04-04 20:31:58 +0000,DH_FBK,RT @tjowens: Digital Cultural Heritage and the Crowd (pdf) on point for crowdsourcing convo  at #radtech14 http://t.co/tZwJBHdgrk *shameless plug*
452180833575927808,2014-04-04 20:28:06 +0000,mpeachy8,Thanks to the organizers of #radtech14 for bringing together a fascinating group of people! Much to ponder.
452178298949623808,2014-04-04 20:18:02 +0000,SAAVMS,RT @meau: Archivists have been dealing with information explosion for a LONG TIME. We're probably gonna be okay. #radtech14
452178283413925888,2014-04-04 20:17:58 +0000,DavidUnderdown9,"RT @brilwil: ""Batch metadata assignment...using facial recognition software"" - code4Lib issue 21 http://t.co/wHAHUh8zBZ #radtech14"
452174901273985024,2014-04-04 20:04:32 +0000,sheepeeh,"Thoroughly jealous of folks at #radtech14 , but glad you're all tweeting it!"
452174283130028032,2014-04-04 20:02:04 +0000,johannaberg,"RT @tjowens: ""Real Face of White Australia"" http://t.co/Wc9GaZ3dB4 IMHO Biggest pay off of facial recognition for archives. from @wragge #radtech14"
